# Or's compilation of empirically constrained SFR(z) curves
# using a diet-Salpeter IMF
# (1) - redshift 
# (2) - Yuksel+ 08 
# (3) - Bouwens+ 10 without dust correction
# (4) - Bouwens+ 10 with dust correction
# (5) - Oda+. 08, lower limit
# (6) - Oda+ 08, upper limit
# (7) - Hopkins & Beacom 06 (Cole+ 01 fit)
# (8) - Giavalisco+ 04
# (9) - Behroozi+ 13
#    z               Y08        B10raw             B10corr       oda08lowlim    oda08uplim        HB06           G04               B13
   1.3000000e+00   1.8024956e-01   1.9467200e-02   7.2204140e-02   1.0863210e-01   2.8448000e-01   1.2927257e-01   1.1244429e-01   1.3466626e-01
   1.3100000e+00   1.8001511e-01   1.9722226e-02   7.2991529e-02   1.0769360e-01   2.8448000e-01   1.3013766e-01   1.1323858e-01   1.3567294e-01
   1.3200000e+00   1.7978198e-01   1.9979469e-02   7.3784047e-02   1.0676721e-01   2.8448000e-01   1.3100096e-01   1.1402624e-01   1.3665963e-01
   1.3300000e+00   1.7955015e-01   2.0238939e-02   7.4581706e-02   1.0585272e-01   2.8448000e-01   1.3186239e-01   1.1480721e-01   1.3762587e-01
   1.3400000e+00   1.7931962e-01   2.0500646e-02   7.5384516e-02   1.0494993e-01   2.8448000e-01   1.3272192e-01   1.1558144e-01   1.3857122e-01
   1.3500000e+00   1.7909036e-01   2.0764600e-02   7.6192490e-02   1.0405864e-01   2.8448000e-01   1.3357946e-01   1.1634885e-01   1.3949525e-01
   1.3600000e+00   1.7886236e-01   2.1030810e-02   7.7005637e-02   1.0317865e-01   2.8448000e-01   1.3443498e-01   1.1710941e-01   1.4039758e-01
   1.3700000e+00   1.7863562e-01   2.1299285e-02   7.7823969e-02   1.0230978e-01   2.8448000e-01   1.3528839e-01   1.1786306e-01   1.4127782e-01
   1.3800000e+00   1.7841011e-01   2.1570035e-02   7.8647496e-02   1.0145184e-01   2.8448000e-01   1.3613964e-01   1.1860975e-01   1.4213564e-01
   1.3900000e+00   1.7818584e-01   2.1843070e-02   7.9476231e-02   1.0060465e-01   2.8448000e-01   1.3698867e-01   1.1934943e-01   1.4297069e-01
   1.4000000e+00   1.7796278e-01   2.2118400e-02   8.0310183e-02   9.9768025e-02   2.8448000e-01   1.3783541e-01   1.2008207e-01   1.4378269e-01
   1.4100000e+00   1.7774093e-01   2.2396034e-02   8.1149363e-02   9.8941792e-02   2.8448000e-01   1.3867979e-01   1.2080763e-01   1.4457135e-01
   1.4200000e+00   1.7752027e-01   2.2675981e-02   8.1993783e-02   9.8125781e-02   2.8448000e-01   1.3952174e-01   1.2152606e-01   1.4533642e-01
   1.4300000e+00   1.7730079e-01   2.2958251e-02   8.2843453e-02   9.7319823e-02   2.8448000e-01   1.4036120e-01   1.2223734e-01   1.4607767e-01
   1.4400000e+00   1.7708249e-01   2.3242854e-02   8.3698384e-02   9.6523754e-02   2.8448000e-01   1.4119809e-01   1.2294144e-01   1.4679490e-01
   1.4500000e+00   1.7686534e-01   2.3529800e-02   8.4558588e-02   9.5737413e-02   2.8448000e-01   1.4203234e-01   1.2363833e-01   1.4748794e-01
   1.4600000e+00   1.7664934e-01   2.3819098e-02   8.5424074e-02   9.4960642e-02   2.8448000e-01   1.4286387e-01   1.2432797e-01   1.4815662e-01
   1.4700000e+00   1.7643448e-01   2.4110757e-02   8.6294853e-02   9.4193287e-02   2.8448000e-01   1.4369261e-01   1.2501036e-01   1.4880082e-01
   1.4800000e+00   1.7622075e-01   2.4404787e-02   8.7170936e-02   9.3435195e-02   2.8448000e-01   1.4451848e-01   1.2568546e-01   1.4942043e-01
   1.4900000e+00   1.7600814e-01   2.4701198e-02   8.8052335e-02   9.2686219e-02   2.8448000e-01   1.4534141e-01   1.2635326e-01   1.5001537e-01
   1.5000000e+00   1.7579663e-01   2.5000000e-02   8.8939059e-02   9.1946212e-02   2.8448000e-01   1.4616132e-01   1.2701375e-01   1.5058559e-01
   1.5100000e+00   1.7558623e-01   2.5301202e-02   8.9831120e-02   9.1215032e-02   2.8448000e-01   1.4697812e-01   1.2766690e-01   1.5113105e-01
   1.5200000e+00   1.7537690e-01   2.5604813e-02   9.0728527e-02   9.0492540e-02   2.8448000e-01   1.4779173e-01   1.2831271e-01   1.5165174e-01
   1.5300000e+00   1.7516866e-01   2.5910843e-02   9.1631292e-02   8.9778597e-02   2.8448000e-01   1.4860207e-01   1.2895118e-01   1.5214767e-01
   1.5400000e+00   1.7496148e-01   2.6219302e-02   9.2539426e-02   8.9073071e-02   2.8448000e-01   1.4940905e-01   1.2958228e-01   1.5261888e-01
   1.5500000e+00   1.7475536e-01   2.6530200e-02   9.3452938e-02   8.8375828e-02   2.8448000e-01   1.5021259e-01   1.3020602e-01   1.5306541e-01
